Player,Pos,G,Tgt,Rec,Yds,TD
cooperkupp,WR,17,191,145,1947,16
justinjefferson,WR,17,167,108,1616,10
davanteadams,WR,16,169,123,1553,11
jamarrchase,WR,17,128,81,1455,13
deebosamuel,WR,16,121,77,1405,6
markandrews,TE,17,153,107,1361,9
tyreekhill,WR,17,159,111,1239,9
stefondiggs,WR,17,164,103,1225,10
tylerlockett,WR,16,107,73,1175,8
diontaejohnson,WR,16,169,107,1161,8
djmoore,WR,17,163,93,1157,4
mikewilliams,WR,16,129,76,1146,9
keenanallen,WR,16,157,106,1138,6
traviskelce,TE,16,134,92,1125,9
chrisgodwin,WR,14,127,98,1103,5
ceedeelamb,WR,16,120,79,1102,6
teehiggins,WR,14,110,74,1091,6
michaelpittmanjr,WR,17,129,88,1082,6
darnellmooney,WR,17,140,81,1055,4
terrymclaurin,WR,17,130,77,1053,5
hunterrenfrow,WR,17,128,103,1038,9
brandincooks,WR,16,134,90,1037,6
mikeevans,WR,16,114,74,1035,14
kylepitts,TE,17,110,68,1026,1
jaylenwaddle,WR,16,140,104,1015,6
marquisebrown,WR,16,146,91,1008,6
christiankirk,WR,17,103,77,982,5
dkmetcalf,WR,17,129,75,967,12
devontasmith,WR,17,104,64,916,5
amonrastbrown,WR,17,119,90,912,5
georgekittle,TE,14,94,71,910,6
ajbrown,WR,13,105,63,869,5
jakobimeyers,WR,17,126,83,866,2
amaricooper,WR,15,104,68,865,8
chaseclaypool,WR,15,105,59,860,2
ajgreen,WR,16,92,54,848,3
marvinjones,WR,17,120,73,832,4
dallasgoedert,TE,15,76,56,830,4
tylerboyd,WR,16,94,67,828,5
brandonaiyuk,WR,17,84,56,826,5
daltonschultz,TE,17,104,78,808,8
robgronkowski,TE,12,89,55,802,6
vanjefferson,WR,17,89,50,802,6
kendrickbourne,WR,17,70,55,800,5
mikegesicki,TE,17,112,73,780,2
courtlandsutton,WR,17,98,58,776,2
russellgage,WR,14,94,66,770,4
zachertz,TE,17,112,74,763,5
timpatrick,WR,16,85,53,734,5
adamthielen,WR,13,95,67,726,10
marquezcallaway,WR,17,84,46,698,6
colebeasley,WR,16,112,82,693,1
mecolehardman,WR,17,83,59,693,2
noahfant,TE,16,90,68,670,4
darrenwaller,TE,11,93,55,665,2
kjosborn,WR,17,82,50,655,7
austinekeler,RB,16,94,70,647,8
quezwatkins,WR,17,62,43,647,1
emmanuelsanders,WR,14,72,42,626,4
laviskashenaultjr,WR,16,100,63,619,0
colekmet,TE,17,93,60,612,0
hunterhenry,TE,17,75,50,603,9
cedrickwilsonjr,WR,16,61,45,602,6
donovanpeoplesjones,WR,14,58,34,597,3
tylerconklin,TE,17,87,61,593,3
dawsonknox,TE,15,71,49,587,9
tjhockenson,TE,12,84,61,583,4
kalifraymond,WR,16,71,48,576,4
deandrehopkins,WR,10,64,42,572,8
bryanedwards,WR,16,59,34,571,3
jarvislandry,WR,12,87,52,570,2
deonteharty,WR,13,59,36,570,3
byronpringle,WR,17,60,42,568,5
jaredcook,TE,16,83,48,564,4
tylerhigbee,TE,15,85,61,560,5
robertwoods,WR,9,69,45,556,4
gabrieldavis,WR,16,63,35,549,6
cordarrellepatterson,RB,16,69,52,548,5
zayjones,WR,17,70,47,546,1
antoniobrown,WR,7,62,42,545,4
elijahmoore,WR,11,77,43,538,5
odellbeckhamjr,WR,14,82,44,537,5
kennygolladay,WR,14,76,37,521,0
robbiechosen,WR,17,110,53,519,5
rashodbateman,WR,12,68,46,515,1
devanteparker,WR,10,73,40,515,2
allenlazard,WR,15,60,40,513,8
patfreiermuth,TE,16,79,60,497,7
cjuzomah,TE,16,63,49,493,5
coreydavis,WR,9,59,34,492,4
geraldeverett,TE,15,63,48,478,4
nickwestbrookikhine,WR,16,57,38,476,4
davidnjoku,TE,16,53,36,475,4
nelsonagholor,WR,15,64,37,473,3
henryruggsiii,WR,7,36,24,469,2
najeeharris,RB,17,94,74,467,3
jerryjeudy,WR,10,56,38,467,0
leonardfournette,RB,14,84,69,454,2
deseanjackson,WR,16,34,20,454,2
dandreswift,RB,13,78,62,452,2
darrelwilliams,RB,17,57,47,452,2
keelancole,WR,15,51,28,449,1
jalenguyton,WR,16,48,31,448,3
jamisoncrowder,WR,12,71,51,447,2
nicocollins,WR,14,60,33,446,1
michaelgallup,WR,9,62,35,445,2
alvinkamara,RB,13,67,47,439,5
rondalemoore,WR,14,64,54,435,1
laquontreadwell,WR,12,51,33,434,1
juliojones,WR,10,48,31,434,1
braxtonberrios,WR,16,65,46,431,2
marquezvaldesscantling,WR,11,55,26,430,3
kadariustoney,WR,10,57,39,420,0
allenrobinson,WR,12,66,38,410,1
evanengram,TE,15,73,46,408,3
danarnold,WR,11,52,35,408,0
olamidezaccheaus,WR,17,53,31,406,3
brandonbolden,RB,17,49,41,405,2
jdmckissic,RB,11,53,43,397,2
joshreynolds,WR,12,49,29,396,2
sammywatkins,WR,13,49,27,394,1
aaronjones,RB,15,65,52,391,6
zachpascal,WR,16,69,38,384,3
adamhumphries,WR,17,62,41,383,0
trequansmith,WR,11,50,32,377,3
jamesconner,RB,15,39,37,375,3
randallcobb,WR,12,39,28,375,5
fostermoreau,TE,17,44,30,373,3
tyjohnson,RB,16,55,34,372,2
sterlingshepard,WR,7,53,36,366,1
jonathantaylor,RB,17,51,40,360,2
tylerjohnson,WR,17,55,36,360,0
durhamsmythe,TE,17,41,34,357,0
joshpalmer,WR,17,49,33,353,4
joshjacobs,RB,15,64,54,348,0
austinhooper,TE,16,61,38,345,3
christianmccaffrey,RB,7,41,37,343,1
freddieswain,WR,17,40,25,343,4
dariusslayton,WR,13,58,26,339,2
tonypollard,RB,15,46,39,337,0
tyhilton,WR,10,37,23,331,3
albertokwuegbunam,TE,14,40,33,330,2
damierebyrd,WR,17,38,26,329,1
michaelcarter,RB,14,55,36,325,0
chrisconley,WR,16,37,22,323,2
javontewilliams,RB,17,53,43,316,3
moaliecox,TE,17,45,24,316,4
joemixon,RB,16,48,42,314,3
ajdillon,RB,17,37,34,313,2
marquisegoodwin,WR,14,40,20,313,1
chaseedmonds,RB,12,53,43,311,0
nyheimhines,RB,17,57,40,310,1
jackdoyle,TE,17,43,29,302,3
davidmontgomery,RB,13,51,42,301,0
chesterrogers,WR,16,43,30,301,1
jalenreagor,WR,17,57,33,299,2
kylejuszczyk,FB,17,38,30,296,1
deandrecarter,WR,17,44,24,296,3
antoniogibson,RB,16,52,42,294,3
jonnusmith,TE,16,45,28,294,1
anthonyfirkser,FB,15,43,34,291,2
kenyandrake,RB,12,40,30,291,1
ameerabdullah,RB,17,53,38,289,1
ezekielelliott,RB,17,65,47,287,2
jameswashington,WR,15,44,24,285,2
jauanjennings,WR,16,38,24,282,5
calvinridley,WR,5,52,31,281,2
rayraymccloud,WR,16,66,39,277,0
rashardhiggins,WR,15,47,24,275,1
devinduvernay,WR,16,47,33,272,2
rickysealsjones,TE,13,49,30,271,2
devontaebooker,RB,16,45,40,268,1
demarcusrobinson,WR,17,41,25,264,3
saquonbarkley,RB,13,57,41,263,2
adamtrautman,TE,13,43,27,263,2
ryangriffin,TE,14,42,27,261,2
mikedavis,RB,17,58,44,259,1
kylerudolph,TE,16,39,26,257,1
kennethgainwell,RB,16,50,33,253,1
brandonzylstra,WR,13,25,18,250,1
johnbates,TE,17,25,20,249,1
liljordanhumphrey,WR,10,18,13,249,2
dannyamendola,WR,8,38,24,248,3
cameronbrate,TE,17,57,30,245,4
josiahdeguara,TE,16,33,25,245,2
jamesoshaughnessy,TE,7,34,24,244,0
jeremymcnichols,RB,14,38,28,240,1
mylesgaskin,RB,17,63,49,234,4
harrisonbryant,TE,16,28,21,233,3
willdissly,TE,15,26,21,231,1
tajaesharpe,WR,15,37,25,230,0
jamalagnew,WR,10,39,24,229,1
devinsingletary,RB,17,50,40,228,1
alexandermattison,RB,16,39,32,228,1
chrismoore,WR,12,22,21,227,2
davidjohnson,RB,13,42,32,225,1
dalvincook,RB,13,49,34,224,0
johnross,WR,10,20,11,224,1
mackhollins,WR,17,28,14,223,4
jamesrobinson,RB,14,46,31,222,0
haydenhurst,TE,13,31,26,221,3
jordanakins,TE,13,33,24,214,0
marcedeslewis,TE,17,28,23,214,0
melvingordon,RB,16,38,28,213,2
albertwilson,WR,14,39,25,213,0
tavonaustin,WR,13,37,24,213,1
cyrilgrayson,WR,5,12,10,212,2
camsims,WR,14,23,15,211,2
geoffswaim,TE,16,40,31,210,3
antoinewesley,WR,15,32,19,208,3
roberttonyan,TE,8,29,18,204,2
quintezcephus,WR,5,22,15,204,2
jamesproche,WR,14,20,16,202,0
zackmoss,RB,13,32,23,197,1
samajeperine,RB,16,31,27,196,1
loganthomas,TE,6,25,18,196,3
maxxwilliams,TE,5,17,16,193,1
devontafreeman,RB,16,42,34,190,1
donaldparham,TE,14,27,20,190,3
ianthomas,TE,17,30,18,188,0
rexburkhead,RB,16,32,25,186,0
noahbrown,WR,13,25,16,184,0
nkealharry,WR,12,22,12,184,0
demetricfelton,WR,16,21,18,181,2
tommytremble,TE,16,35,20,180,1
justinjackson,RB,14,25,22,178,0
brevinjordan,TE,9,28,20,178,3
isaiahmckenzie,WR,15,26,20,178,1
mohamedsanu,WR,8,24,15,177,0
darrellhenderson,RB,12,40,29,176,3
kendallhinton,WR,16,23,15,175,1
chubahubbard,RB,17,37,25,174,1
kareemhunt,RB,8,27,22,174,0
nickchubb,RB,14,25,20,174,1
tylerkroft,TE,9,25,16,173,1
ashtondulin,WR,17,22,13,173,2
pharaohbrown,TE,15,34,23,171,0
zachgentry,TE,17,25,19,167,0
jimmygraham,TE,15,23,14,167,3
breshadperriman,WR,6,18,11,167,1
stephenanderson,TE,17,19,16,165,1
dyamibrown,WR,15,25,12,165,0
markingram,RB,14,35,27,162,0
parriscampbell,WR,6,20,10,162,1
travishomer,RB,14,20,16,161,0
isaiahford,WR,13,17,12,161,2
marcusjohnson,WR,7,19,9,160,0
juwanjohnson,WR,14,22,13,159,4
milessanders,RB,12,34,26,158,0
jamaalwilliams,RB,13,28,26,157,0
jamycalhasty,RB,11,29,23,157,0
khadarelhodge,WR,16,27,13,157,0
derrickhenry,RB,8,20,18,154,0
djchark,WR,4,22,7,154,2
chrisevans,RB,14,17,15,151,2
malikturner,WR,14,16,12,149,3
mycolepruitt,TE,16,18,14,145,3
terracemarshalljr,WR,13,30,17,138,0
dernestjohnson,RB,17,25,19,137,0
elijahmitchell,RB,11,20,19,137,1
ojhoward,TE,17,21,14,135,1
anthonyschwartz,WR,14,23,10,135,1
deejaydallas,RB,17,23,21,133,0
benskowronek,WR,14,20,11,133,0
nickvannett,TE,7,15,9,133,1
denzelmims,WR,11,23,8,133,0
damienharris,RB,15,21,18,132,0
jakeemgrant,WR,15,17,11,132,2
clydeedwardshelaire,RB,10,23,19,129,2
jujusmithschuster,WR,5,28,15,129,0
sonymichel,RB,17,33,21,128,1
cjham,FB,17,18,17,125,0
giovanibernard,RB,12,29,23,123,3
rhamondrestevenson,RB,12,18,14,123,0
dontaforeman,RB,9,11,9,123,0
salvonahmed,RB,12,19,12,117,0
brockwright,TE,10,17,12,117,2
ihmirsmithmarsette,WR,8,6,5,116,2
dareogunbowale,RB,17,21,13,114,1
jeffsmith,WR,12,17,8,113,0
adamshaheen,TE,12,16,12,110,0
phillipdorsett,WR,6,14,7,110,0
jerickmckinnon,RB,13,20,13,107,1
kylengranson,TE,17,15,11,106,0
collinjohnson,WR,12,21,11,105,0
derrickgore,RB,11,9,8,105,0
shismith,WR,6,11,6,104,0
damienwilliams,RB,12,23,16,103,1
trinitybenson,WR,8,22,10,103,0
equanimeousstbrown,WR,13,17,9,98,0
khalilherbert,RB,17,16,14,96,0
blakejarwin,TE,8,17,11,96,2
tymontgomery,WR,14,26,16,95,0
gregward,WR,17,11,7,95,3
jameswhite,RB,3,14,12,94,0
dontrellhilliard,RB,8,26,19,87,0
dantepettis,WR,3,16,10,87,1
blakebell,TE,16,13,9,87,0
alexcollins,RB,11,10,9,87,0
trentsherfield,WR,17,20,9,87,1
alecingold,FB,9,12,10,85,1
ericebron,TE,8,18,12,84,1
tysonwilliams,RB,13,12,9,84,0
bostonscott,RB,16,16,13,83,0
daxmilne,WR,13,14,9,83,0
drewsample,TE,17,15,11,81,0
roycefreeman,RB,15,16,10,77,0
lataviusmurray,RB,14,13,10,75,0
kjhamler,WR,3,10,5,74,0
jaretpatterson,RB,17,11,10,73,0
jalenrichard,RB,10,14,12,72,0
mattbreida,RB,9,9,7,72,2
chrismanhertz,TE,17,9,6,71,1
prestonwilliams,WR,8,16,6,71,0
dedewestbrook,WR,15,15,10,68,0
kennystills,WR,13,23,6,68,1
peytonbarber,RB,10,13,10,67,0
josholiver,TE,14,15,9,66,0
carloshyde,RB,12,21,12,65,0
leesmith,TE,16,11,9,65,1
dwayneeskridge,WR,10,20,10,64,1
ronaldjonesii,RB,16,13,10,64,0
jamarcusbradley,WR,5,4,4,64,0
patrickricard,FB,13,13,8,63,1
jessejames,TE,14,8,7,62,1
godwinigwebuike,RB,17,10,7,60,0
pennyhart,WR,17,12,7,59,0
juwannwinfree,WR,7,13,8,58,0
keithsmith,FB,17,10,9,56,0
lukefarrell,TE,15,11,7,56,0
jasonmoore,WR,2,4,3,56,0
jacobhollister,TE,7,14,9,55,1
alexerickson,WR,17,4,3,55,0
tomkennedy,WR,12,10,6,54,0
craigreynolds,RB,5,8,7,52,0
mikethomas,WR,12,11,5,52,0
charliewoerner,TE,17,6,5,52,0
taysomhill,QB,12,6,4,52,0
cjboard,WR,6,6,4,51,0
rossdwelley,TE,17,5,4,51,1
tevincoleman,RB,11,16,11,49,0
dezfitzpatrick,WR,4,8,5,49,1
rashaadpenny,RB,10,8,6,48,0
rodneysmith,RB,2,5,5,48,0
ericsaubert,TE,17,12,8,47,1
antonyauclair,TE,16,5,5,47,1
jodyfortson,TE,6,5,5,47,2
tremckitty,TE,11,8,6,45,0
philliplindsay,RB,14,5,4,45,1
amarirodgers,WR,16,8,4,45,0
tommysweeney,TE,13,12,9,44,1
jaelondarden,WR,9,12,6,43,0
parkerhesse,DE,8,6,5,43,0
darrenfells,TE,9,5,4,43,0
jakobjohnson,FB,17,5,4,43,0
enobenjamin,RB,9,7,6,42,0
kristianwilkerson,WR,3,8,4,42,2
chrishogan,WR,5,8,4,41,1
dukejohnson,RB,5,5,4,41,0
trenttaylor,WR,4,3,2,41,0
chrisherndon,FB,16,7,4,40,1
garrettgriffin,TE,13,4,4,39,0
audentate,WR,7,4,3,39,1
joshuakelley,RB,10,6,5,38,0
scottmiller,WR,9,9,5,38,0
williesnead,WR,9,8,4,38,0
kevinwhite,WR,6,5,1,38,0
kendallblanton,TE,11,7,4,37,0
noahgray,TE,16,10,7,36,1
djmontgomery,WR,3,6,3,36,0
jjarcegawhiteside,WR,16,5,2,36,0
kennyyeboah,TE,9,3,2,36,0
tylerdavis,TE,14,5,4,35,0
trevonwesco,TE,12,5,3,35,0
andreroberts,WR,16,2,1,35,0
jonathanward,RB,13,4,3,34,0
shanezylstra,TE,4,7,3,34,0
dominiquedafney,TE,10,4,2,34,0
trentonirwin,WR,7,5,2,34,0
sethwilliams,WR,2,1,1,34,0
colbyparkinson,TE,14,8,5,33,0
codywhite,WR,15,6,5,33,0
pharohcooper,WR,8,11,4,33,0
codyhollister,WR,3,7,4,33,0
kadensmith,TE,9,3,3,33,0
joshgordon,WR,12,14,5,32,1
jeffwilson,RB,9,8,7,31,0
michaelburton,RB,16,3,3,31,0
tommyhudson,TE,5,6,3,31,0
jeremysprinkle,TE,17,3,3,31,0
gunnerolszewski,WR,16,3,2,31,0
elijhaapenny,RB,17,13,9,30,1
leveonbell,RB,8,7,5,30,1
kjhill,CB,6,3,3,30,0
chriscarson,RB,4,6,6,29,0
coreyclement,RB,17,7,6,29,1
tonyjones,RB,11,8,5,29,0
danielbrown,WR,12,2,2,29,0
jonathanwilliams,RB,5,6,4,28,0
jakekumerow,WR,15,6,2,28,0
curtissamuel,WR,5,9,6,27,0
seanmckeon,TE,9,6,4,27,1
willfuller,WR,2,8,4,26,0
keshawnvaughn,RB,12,8,4,26,0
treysermon,RB,9,4,3,26,0
mikestrachan,WR,6,3,2,26,0
anthonymiller,WR,3,12,6,25,1
christianblake,WR,16,9,4,25,0
marcuskemp,WR,16,5,2,24,0
jermarjefferson,RB,7,5,4,23,0
reggiegilliam,FB,16,5,3,23,0
dazznewsome,WR,3,5,2,23,0
tylanwallace,WR,17,6,2,23,0
wendellsmallwood,RB,3,5,4,22,0
jackstoll,TE,16,5,4,22,0
tyreejackson,TE,9,7,3,22,1
mikeboone,RB,8,2,2,22,0
jesperhorsted,WR,7,3,2,21,2
dezmonpatmon,WR,8,4,2,21,1
garrettbradbury,C,13,1,1,21,0
waynegallman,RB,8,3,1,21,0
nickbawden,RB,9,1,1,20,0
jordanhoward,RB,7,5,2,19,0
keithkirkwood,WR,3,7,3,17,0
patricklaird,RB,6,3,3,17,0
chrismyarick,TE,8,6,3,17,1
gabenabers,FB,10,3,3,17,0
davidsills,WR,4,6,2,17,0
daviondavis,WR,2,3,1,17,0
bobbyprice,DB,15,1,1,17,0
jasoncabinda,LB,14,7,4,16,1
ryquellarmstead,RB,2,4,3,16,0
adamprentice,FB,7,3,3,16,0
mitchellwilcox,TE,15,5,3,16,0
cethancarter,TE,16,2,2,16,0
tyronjohnson,WR,10,5,2,16,0
danieljones,QB,11,1,1,16,0
gregdortch,WR,5,3,3,15,0
derekwatt,FB,17,3,3,15,0
cameronbatson,WR,4,5,2,15,1
jaylensamuels,RB,3,4,3,14,0
maliktaylor,WR,10,3,2,14,0
tyrellwilliams,WR,1,3,2,14,0
frankdarby,WR,10,4,1,14,0
derekcarrier,TE,5,2,2,13,0
bennysnelljr,RB,17,4,2,13,0
andyisabella,WR,8,1,1,13,0
kirkmerritt,WR,2,3,1,13,0
qadreeollison,RB,8,6,4,12,0
reggiebonnafon,RB,4,2,2,12,0
lukestocker,TE,12,2,2,12,0
dwaynewashington,RB,14,2,2,12,0
darryntonevans,RB,1,2,2,11,0
stanleymorganjr,WR,17,4,2,11,0
richardrodgers,TE,3,2,2,11,0
cjsaunders,WR,2,2,2,11,0
anthonymcfarlandjr,RB,2,1,1,11,0
camakers,RB,1,3,3,10,0
malcolmbrown,RB,7,5,3,10,0
demetriusharris,TE,14,6,3,10,0
jaydonmickens,WR,11,3,2,10,0
tarikblack,WR,1,2,1,10,0
marvinhall,WR,2,1,1,10,0
kenenwangwu,RB,11,5,4,9,0
andyjanovich,RB,13,4,3,9,0
scottiephillips,RB,3,3,2,9,0
austinwalter,RB,4,3,2,9,0
brycenhopkins,TE,5,1,1,9,0
johnnymundt,TE,6,1,1,9,0
adrianpeterson,RB,4,4,4,8,0
jjtaylor,RB,5,4,4,8,0
kalenballage,RB,17,7,2,8,0
marlonmack,RB,6,5,2,8,0
raceymcmath,WR,9,6,2,8,0
kevinrader,TE,6,3,2,8,0
ethanwolf,TE,2,2,2,8,0
hunterlong,TE,7,3,1,8,0
johnnystanton,RB,4,2,2,7,1
tommyleelewis,WR,2,2,1,7,0
devineozigbo,RB,3,1,1,7,0
erictomlinson,TE,17,1,1,7,0
treyragas,RB,1,2,2,6,0
milesboykin,WR,8,1,1,6,0
garybrightwell,RB,13,1,1,6,0
amanihooker,FS,12,1,1,6,0
kekecoutee,WR,2,1,1,5,0
kylinhill,RB,8,2,1,5,0
lanejohnson,RT,13,1,1,5,1
easopwinston,WR,3,1,1,5,0
khariblasingame,RB,11,2,2,4,0
taylordecker,LT,9,2,2,4,1
nickbellore,LB,17,1,1,4,0
ryannall,RB,9,1,1,4,0
trayveonwilliams,RB,5,2,1,4,0
patricktaylor,RB,9,2,2,3,0
nickboyle,TE,5,2,1,2,0
dannypinter,G,16,1,1,2,1
andrewthomas,LT,13,1,1,2,1
alexarmah,FB,11,1,1,1,1
drewlock,QB,6,1,1,1,0
conormcdermott,T,6,1,1,1,1
terencesteele,RT/LT,16,1,1,1,1
christianwilkins,RDE,17,1,1,1,1
darrelldaniels,TE,15,4,1,0,0
deonyelder,TE,5,1,1,0,0
rodneyadams,WR,1,1,0,0,0
geronimoallison,WR,3,2,0,0,0
travisbenjamin,WR,10,5,0,0,0
dariusbradwell,FB,2,1,0,0,0
johnbrown,WR,4,3,0,0,0
tevaughncampbell,RCB,16,1,0,0,0
tyriecleveland,WR,7,1,0,0,0
isaiahcoulter,WR,3,1,0,0,0
keioncrossen,DB,16,1,0,0,0
diondawkins,LT,16,1,0,0,0
benellefson,TE,5,1,0,0,0
jasonhuntley,RB,1,1,0,0,0
jalenhurts,QB,15,1,0,0,0
codeymcelroy,TE,2,1,0,0,0
davidmoore,WR,3,2,0,0,0
mattnelson,RT,13,1,0,0,0
giovanniricci,FB,16,2,0,0,0
mekhisargent,RB,7,1,0,0,0
devinsmith,WR,4,1,0,0,0
vyncintsmith,WR,2,1,0,0,0
stephensullivan,TE,3,1,0,0,0
colinthompson,TE,11,1,0,0,0
trentwilliams,LT,15,1,0,0,0
zachwilson,QB,13,1,0,0,0
danielhelm,TE,9,2,1,-1,0
larryrountree,RB,12,2,1,-1,0
taylorheinicke,QB,16,1,1,-2,0
mikeremmers,T,4,1,1,-2,0
diontaespencer,WR,15,4,1,-3,0
aaronrodgers,QB,16,1,1,-4,0
